1,11,"Некоммерческое партнерство ""Клуб Общественной палаты""","""Исследование вызовов и угроз российскому обществу, формирование возможных сценариев социально-экономического развития России в среднесрочной перспективе""",600 000р.
2,13,"Общероссийское общественное движение ""За здоровую Россию""","""Изучение влияния некоммерческих организаций в сфере образования, здравоохранения, социальной защиты и культуры""",1 350 000р.
3,25,"Ивановское региональное отделение общественной организации ""Союз женщин России""","""Социальное сиротство в условиях экономического кризиса""",750 000р.
4,30,"Межрегиональная общественная организация ""Институт современной политики""","""«Протестное движение» – мониторинг и анализ протестной деятельности общественных организаций и организованных групп граждан""",2 000 000р.
5,33,"Общероссийское общественное движение ""Первое свободное поколение""","""Мониторинг различных проявлений социальных и трудовых конфликтов в субъектах РФ. Выявление совокупности субъективных и объективных факторов, влияющих на конфликты, связанные с деятельностью профсоюзных организаций""",2 000 000р.
6,35,"Автономная некоммерческая организация ""Центр социологических исследований ""МИЦАР""","""Конструирование имиджа России в мире с использованием механизмов общественной дипломатии""",160 000р.
7,45,"Некоммерческое партнерство ""Центр техногенных искусств и ремесел""","""Исследование деятельности служб занятости по работе с безработной молодежью в различных областях Российской Федерации в период кризиса""",550 000р.
8,56,"Некоммерческое партнёрство ""Институт автоматизации систем управления и контроля""","""Мониторинг реализации избирательных прав в России и в мире на протяжении 2010 года""",3 550 000р.
9,58,"Межрегиональная общественная организация по изучению проблем социально-политической и экономической жизни общества ""Совет по национальной стратегии""","""Генезис глобального кризиса""",500 000р.
10,60,"Автономная некоммерческая организация ""Институт политического анализа и стратегий""","""Резервные возможности создания новых рабочих мест: потребности соискателей и возможности рынка труда""",1 500 000р.
11,102,Автономная некоммерческая организация «Институт антропотехники»,"""Исследование готовности основных игроков, способных организовать процесс управляемой внутренней миграции из деградирующих в растущие регионы Российской Федерации, к участию в организации этого процесса""",1 100 000р.
12,109,"Некоммерческое партнерство ""Межрегиональная ассоциация мониторинга и статистики образования""","""Источники стимулирования инновационной деятельности вузов в контексте приоритетов национального развития""",500 000р.
