1,12,"Ивановское региональное отделение общественной организации - ""Союз женщин России""",Женщины против социального сиротства.,300000
2,22,"Некоммерческое партнерство - ""Ассоциация психологов Республики Татарстан""","Востребованность в социальных и социально-психологических услугах лицами, находящимися в трудной жизненной ситуации.",258000
3,23,"Автономная некоммерческая организация ""Центр общественно-политических исследований ""Российская Балтика""",Калининградская область: социальное развитие эксклавного российского региона и идентичность калининградцев.,500000
4,41,"Общероссийская общественная организация ""Всероссийский Совет местного самоуправления""",Условия повышения социальной активности граждан в решении местных проблем.,1500000
5,42,«Ставропольская краевая организация общероссийской общественной организации «Всероссийское общество инвалидов» (ВОИ),Экспертная оценка уровня развития и качества социальных услуг для инвалидов Ставропольского края.,338040
6,59,"Орловская областная общественная организация Студенческий социологический клуб ""ЛОГОС""",Влияние межпоколенной трансмиссии на социальную активность провинциальной молодежи (на примере Орловского региона).,200000
7,66,Общероссийский общественный Фонд «Общественное мнение»,Гражданское общество:             1. Исследование третьего сектора – состояние институтов гражданского общества в стране и создание общероссийского мониторинга исследования третьего сектора.             2. Задачи развития третьего сектора как инструмента консолидации общества в регионах.,17380000
8,67,"Общественный фонд ""Мнение"" города Ставрополя","""Люди-XXI"" как локомотивная группа социальных трансформаций.",3876900
9,78,"Самарская общественная организация ""Фонд социальных исследований""",Трансформации общественного сознания населения Чеченской республики: сепаратизм или интеграция.,2000000
10,82,"Хабаровская краевая благотворительная общественная организация ""Зеленый Дом""",Развитие села: предпринимательская пассивность населения и способы ее преодоления.,179384
11,102,Общероссийская общественная организация «Общество защиты прав водителей»,"Мониторинг показателей социальной активности автомобилистов России, разработка модели организационной формы общественного объединения, позволяющего обеспечить наиболее эффективное участие граждан в решении задачи повышения безопасности дорожного движения.",500000
12,108,"Некоммерческий Фонд содействия сохранению и развитию культурного, научного, духовного и природного наследия Евразии","Интеллектуально-активная группа: мировоззрение, специфика социальных функций и идеологические дифференциации в контексте постсоветской трансформации.",1895000
13,118,"Общероссийское общественное движение ""Гражданское общество""",Гражданские механизмы содействия реформированию правоохранительных органов в Российской Федерации.,800000
14,119,Фонд «Ресурсный центр малого предпринимательства»,Малый и средний бизнес в малых городах России как фактор социально-экономического развития и повышения уровня жизни в регионах.,1019000
15,144,"Автономная некоммерческая организация ""Центр социального программирования""",Правоохранительные органы и российское общество.,3377162
16,146,"Негосударственное образовательное учреждение высшего профессионального образования ""Православный Свято-Тихоновский гуманитарный университет""",Отношение российской молодёжи к Русской Православной Церкви,600000
17,155,"Автономная некоммерческая организация ""Центр прикладных исследований и программ""","Исследование современного поколения научно-технической интеллигенции: ценности, мотивации, стиль жизни.",3104820
18,173,"Негосударственное некоммерческое образовательное учреждение высшего профессионального образования ""Академический правовой университет (Институт)""",Развитие частного капитала в реалиях современного российского законодательства.,2000000
19,181,"Санкт-Петербургская региональная общественная организация ""Балтийский клуб""",Социально-культурные особенности автономизации русскоязычного населения в Эстонии.,765000
20,184,"Некоммерческая организация-Фонд ""Центр политической конъюктуры""",Идеолого-мировоззренческая структура общества и развитие политической системы страны.,2000000
21,187,"Автономная некоммерческая организация ""Социологическая мастерская Задорина""","""Третий сектор"" России: оценка влиятельности.",3500000
22,201,"Автономная некоммерческая организация ""Центр публичной политики, гражданского образования и прав человека"", Республика Карелия, г.Петрозаводск",Что граждане Карелии знают о местных НПО и что думают местные НПО об активности граждан?,370200
23,202,"Межрегиональная общественная организация ""Уральский центр поддержки негосударственных организаций""",Третий сектор городских поседений Приволжского Федерального округа: состояние и стратегия развития.,500000
24,223,"Некоммерческое партнёрство ""Объединение предпринимательских организаций Россиии (ОПОРА)"", г.Москва",Малый бизнес и коррупция: перспективы преодоления,1977208
25,227,"Некоммерческое партнерство ""Проектный центр""",Перспективы развития взаимодействия работодателей и вузов в контексте тенденций развития системы высшего образования в России.,697500
26,228,Общероссийское общественное движение «Общественное согласие»,Россия и русский мир в Ближнем зарубежье: зачем они нужны друг другу.,2374000
27,267,"Межрегиональная общественная организация ""Институт Современной политики""","Изучение факторв, влияющих на зарождение и последующее развитие социально-трудовых конфликтов в различных организациях РФ с точки зрения выявления совокупности факторов, усиливающих или ослабляющих конфликты.",1650000
28,269,"Региональная детская общественная организация ""Ассоциация скаутов Санкт-Петербурга""",Общие мечты молодежи как объединяющая идея.,871944
29,284,"Пермская общественная организация ""Центр социальный инициатив"", Пермский край, г.Пермь",НКО на рынке социальных услуг - Большой барьерный риф.,695842
30,321,"Автономная некоммерческая организация ""Центр социального проектирования ""ВОЗРОЖДЕНИЕ"""", Псковская область, г.Псков","Местные сообщества малых городов Псковской области: социальная структура, качество жизни, перспективы развития.",1170000
